key1 key2 current-time capacity load life-time deleted?
 60 3 0 1 0 -1 0 
 28 2 0 1 0 -1 0 
 11 53 0 1 0 -1 0 
 38 32 0 1 0 -1 0 
 86 78 0 1 0 -1 0 
 70 17 0 1 0 -1 0 
 29 38 0 1 0 -1 0 
 57 42 0 1 0 -1 0 
 12 85 0 1 0 -1 0 
 67 64 0 1 0 -1 0 
 97 38 0 1 0 -1 0 
 14 83 0 1 0 -1 0 
 90 79 0 1 0 -1 0 
 89 82 0 1 0 -1 0 
 87 55 0 1 0 -1 0 
 52 37 0 1 0 -1 0 
 18 77 0 1 0 -1 0 
 78 40 0 1 0 -1 0 
 23 96 0 1 0 -1 0 
 20 64 0 1 0 -1 0 
 46 3 0 1 0 -1 0 
 88 27 0 1 0 -1 0 
 48 83 0 1 0 -1 0 
 1 82 0 1 1 0.28225843089333846 0 
 84 50 0 1 0 -1 0 
 4 61 0 1 0 -1 0 
 97 93 0 1 0 -1 0 
 82 62 0 1 0 -1 0 
 10 25 0 1 0 -1 0 
 45 40 0 1 0 -1 0 
 91 50 0 1 0 -1 0 
 3 40 0 1 0 -1 0 
 24 65 0 1 0 -1 0 
 39 3 0 1 0 -1 0 
 14 68 0 1 0 -1 0 
 20 59 0 1 0 -1 0 
 78 25 0 1 0 -1 0 
 43 27 0 1 0 -1 0 
 57 92 0 1 0 -1 0 
 38 74 0 1 0 -1 0 
 28 41 0 1 0 -1 0 
 33 100 0 1 0 -1 0 
 3 27 0 1 0 -1 0 
 9 64 0 1 0 -1 0 
 54 94 0 1 0 -1 0 
 12 100 0 1 0 -1 0 
 1 44 0 1 0 -1 0 
 91 81 0 1 0 -1 0 
 48 10 0 1 0 -1 0 
 10 26 0 1 0 -1 0 
 10 98 0 1 0 -1 0 
 46 58 0 1 0 -1 0 
 73 47 0 1 0 -1 0 
 98 59 0 1 0 -1 0 
 100 30 0 1 0 -1 0 
 60 50 0 1 0 -1 0 
 79 50 0 1 0 -1 0 
 87 61 0 1 0 -1 0 
 86 10 0 1 0 -1 0 
 89 33 0 1 0 -1 0 
 84 27 0 1 0 -1 0 
 88 68 0 1 0 -1 0 
 15 81 0 1 0 -1 0 
 86 3 0 1 0 -1 0 
 37 81 0 1 0 -1 0 
 71 53 0 1 0 -1 0 
 10 44 0 1 0 -1 0 
 68 55 0 1 0 -1 0 
 1 14 0 1 0 -1 0 
 85 26 0 1 0 -1 0 
 84 85 0 1 0 -1 0 
 31 82 0 1 0 -1 0 
 35 27 0 1 0 -1 0 
 86 42 0 1 0 -1 0 
 90 83 0 1 0 -1 0 
 48 64 0 1 0 -1 0 
 97 64 0 1 0 -1 0 
 27 31 0 1 0 -1 0 
 97 68 0 1 0 -1 0 
 63 26 0 1 0 -1 0 
 47 16 0 1 0 -1 0 
 60 62 0 1 0 -1 0 
 7 55 0 1 0 -1 0 
 32 76 0 1 0 -1 0 
 47 82 0 1 0 -1 0 
 56 47 0 1 0 -1 0 
 38 34 0 1 0 -1 0 
 73 67 0 1 0 -1 0 
 96 40 0 1 0 -1 0 
 5 50 0 1 0 -1 0 
 20 21 0 1 0 -1 0 
 83 75 0 1 0 -1 0 
 47 76 0 1 0 -1 0 
 4 67 0 1 0 -1 0 
 24 12 0 1 0 -1 0 
 88 13 0 1 0 -1 0 
 9 68 0 1 0 -1 0 
 28 68 0 1 0 -1 0 
 74 84 0 1 0 -1 0 
 25 59 0 1 0 -1 0 
 68 50 0 1 0 -1 0 
 47 75 0 1 0 -1 0 
 40 92 0 1 0 -1 0 
 35 54 0 1 0 -1 0 
 94 17 0 1 0 -1 0 
 12 58 0 1 0 -1 0 
 14 3 0 1 0 -1 0 
 29 67 0 1 0 -1 0 
 73 15 0 1 0 -1 0 
 48 44 0 1 0 -1 0 
 63 31 0 1 0 -1 0 
 60 67 0 1 0 -1 0 
 90 60 0 1 0 -1 0 
 91 7 0 1 0 -1 0 
 90 37 0 1 0 -1 0 
 14 35 0 1 0 -1 0 
 32 17 0 1 0 -1 0 
 24 4 0 1 0 -1 0 
 5 74 0 1 0 -1 0 
 91 52 0 1 0 -1 0 
 37 17 0 1 0 -1 0 
 90 95 0 1 0 -1 0 
 48 62 0 1 0 -1 0 
 97 17 0 1 0 -1 0 
 80 15 0 1 0 -1 0 
 88 55 0 1 0 -1 0 
 32 21 0 1 0 -1 0 
 48 14 0 1 0 -1 0 
 86 21 0 1 0 -1 0 
 93 76 0 1 0 -1 0 
 35 51 0 1 0 -1 0 
 18 71 0 1 0 -1 0 
 97 44 0 1 0 -1 0 
 100 16 0 1 0 -1 0 
 78 95 0 1 0 -1 0 
 33 35 0 1 0 -1 0 
 42 40 0 1 0 -1 0 
 52 46 0 1 0 -1 0 
 100 7 0 1 0 -1 0 
 95 44 0 1 0 -1 0 
 96 22 0 1 0 -1 0 
 96 62 0 1 0 -1 0 
 15 66 0 1 0 -1 0 
 56 37 0 1 0 -1 0 
 83 19 0 1 0 -1 0 
 24 25 0 1 0 -1 0 
 6 56 0 1 0 -1 0 
 35 67 0 1 0 -1 0 
 90 93 0 1 0 -1 0 
 45 79 0 1 0 -1 0 
 29 78 0 1 1 0.6293141207327643 0 
 78 15 0 1 0 -1 0 
 94 75 0 1 0 -1 0 
 27 81 0 1 0 -1 0 
 95 19 0 1 0 -1 0 
 5 58 0 1 0 -1 0 
 4 94 0 1 0 -1 0 
 18 16 0 1 0 -1 0 
 2 44 0 1 0 -1 0 
 3 99 0 1 0 -1 0 
 87 76 0 1 0 -1 0 
 23 66 0 1 0 -1 0 
 63 22 0 1 0 -1 0 
 67 99 0 1 0 -1 0 
 4 16 0 1 0 -1 0 
 7 17 0 1 0 -1 0 
 18 95 0 1 0 -1 0 
 35 94 0 1 0 -1 0 
 86 99 0 1 0 -1 0 
 10 19 0 1 0 -1 0 
