key1 key2 current-time capacity load life-time deleted?
 12 31 0 1 0 -1 0 
 51 78 0 1 0 -1 0 
 33 80 0 1 0 -1 0 
 83 75 0 1 0 -1 0 
 16 75 0 1 0 -1 0 
 36 57 0 1 0 -1 0 
 72 15 0 1 0 -1 0 
 52 30 0 1 0 -1 0 
 11 34 0 1 0 -1 0 
 97 56 0 1 0 -1 0 
 98 7 0 1 0 -1 0 
 67 78 0 1 0 -1 0 
 36 63 0 1 0 -1 0 
 16 83 0 1 0 -1 0 
 84 68 0 1 1 0.3933939993533767 0 
 41 62 0 1 0 -1 0 
 35 72 0 1 0 -1 0 
 79 64 0 1 0 -1 0 
 55 85 0 1 0 -1 0 
 44 91 0 1 0 -1 0 
 92 62 0 1 0 -1 0 
 47 65 0 1 1 1.0646819124471023 0 
 3 12 0 1 0 -1 0 
 56 41 0 1 0 -1 0 
 92 28 0 1 0 -1 0 
 87 51 0 1 1 0.17011420537551736 0 
 70 23 0 1 0 -1 0 
 58 83 0 1 0 -1 0 
 47 86 0 1 0 -1 0 
 36 93 0 1 0 -1 0 
 57 63 0 1 0 -1 0 
 5 34 0 1 0 -1 0 
 39 86 0 1 0 -1 0 
 49 26 0 1 0 -1 0 
 70 83 0 1 0 -1 0 
 24 62 0 1 0 -1 0 
 58 55 0 1 0 -1 0 
 91 36 0 1 0 -1 0 
 88 28 0 1 0 -1 0 
 58 50 0 1 0 -1 0 
 15 65 0 1 0 -1 0 
 53 99 0 1 0 -1 0 
 98 56 0 1 0 -1 0 
 11 81 0 1 0 -1 0 
 39 76 0 1 0 -1 0 
 25 73 0 1 0 -1 0 
 48 13 0 1 0 -1 0 
 10 26 0 1 0 -1 0 
 73 40 0 1 0 -1 0 
 30 31 0 1 0 -1 0 
 10 38 0 1 0 -1 0 
 44 85 0 1 0 -1 0 
 67 92 0 1 0 -1 0 
 8 46 0 1 1 0.04428340695544726 0 
 98 75 0 1 0 -1 0 
 58 25 0 1 0 -1 0 
 91 23 0 1 0 -1 0 
 8 79 0 1 0 -1 0 
 38 13 0 1 0 -1 0 
 47 67 0 1 0 -1 0 
 49 54 0 1 0 -1 0 
 46 42 0 1 0 -1 0 
 37 92 0 1 0 -1 0 
 56 74 0 1 0 -1 0 
 40 80 0 1 0 -1 0 
 66 2 0 1 0 -1 0 
 35 26 0 1 0 -1 0 
 90 46 0 1 0 -1 0 
 8 50 0 1 0 -1 0 
 58 23 0 1 0 -1 0 
 10 59 0 1 0 -1 0 
 21 36 0 1 0 -1 0 
 91 21 0 1 0 -1 0 
 27 25 0 1 0 -1 0 
 70 65 0 1 0 -1 0 
 58 3 0 1 0 -1 0 
 95 10 0 1 0 -1 0 
 8 12 0 1 0 -1 0 
 33 92 0 1 0 -1 0 
 37 61 0 1 2 0.4717313192199002 0 
 91 46 0 1 1 2.1437421084884414 0 
 58 38 0 1 0 -1 0 
 97 47 0 1 0 -1 0 
 56 5 0 1 0 -1 0 
 67 15 0 1 0 -1 0 
 6 80 0 1 0 -1 0 
 43 52 0 1 0 -1 0 
 78 71 0 1 0 -1 0 
 51 85 0 1 0 -1 0 
 6 96 0 1 1 0.48851204446224705 0 
 11 90 0 1 0 -1 0 
 58 36 0 1 0 -1 0 
 57 1 0 1 0 -1 0 
 89 84 0 1 1 1.3290307247010673 0 
 19 51 0 1 1 0.08504633178155309 0 
 50 85 0 1 0 -1 0 
 18 54 0 1 0 -1 0 
 29 18 0 1 0 -1 0 
 56 37 0 1 1 0.5663667645828783 0 
 34 53 0 1 1 0.8117223625805233 0 
 3 72 0 1 0 -1 0 
 8 5 0 1 0 -1 0 
