key1 key2 current-time capacity load life-time deleted?
 46 11 0 1 0 -1 0 
 49 14 0 1 3 0.010906427173252062 0 
 95 5 0 1 0 -1 0 
 64 31 0 1 1 0.7402557612280749 0 
 63 66 0 1 0 -1 0 
 10 88 0 1 0 -1 0 
 20 56 0 1 0 -1 0 
 35 67 0 1 1 1.3567319838866485 0 
 71 60 0 1 0 -1 0 
 28 79 0 1 0 -1 0 
 39 68 0 1 0 -1 0 
 3 96 0 1 0 -1 0 
 15 48 0 1 1 0.1407622709914851 0 
 91 38 0 1 0 -1 0 
 24 97 0 1 0 -1 0 
 76 57 0 1 0 -1 0 
 13 60 0 1 0 -1 0 
 95 93 0 1 1 1.110329627088745 0 
 10 99 0 1 0 -1 0 
 10 64 0 1 0 -1 0 
 79 48 0 1 0 -1 0 
 64 86 0 1 0 -1 0 
 83 7 0 1 0 -1 0 
 21 53 0 1 0 -1 0 
 24 49 0 1 3 0.8640787782323498 0 
 10 94 0 1 0 -1 0 
 45 53 0 1 0 -1 0 
 6 3 0 1 0 -1 0 
 51 67 0 1 0 -1 0 
 45 37 0 1 1 0.12856017131237155 0 
 87 11 0 1 0 -1 0 
 38 47 0 1 0 -1 0 
 25 88 0 1 2 0.8372544191012585 0 
 45 43 0 1 1 0.28542538487226077 0 
 76 59 0 1 0 -1 0 
 76 23 0 1 0 -1 0 
 81 68 0 1 0 -1 0 
 95 83 0 1 0 -1 0 
 96 37 0 1 0 -1 0 
 48 99 0 1 0 -1 0 
 70 82 0 1 0 -1 0 
 6 81 0 1 0 -1 0 
 21 7 0 1 0 -1 0 
 46 35 0 1 0 -1 0 
 15 89 0 1 0 -1 0 
 71 82 0 1 0 -1 0 
 72 99 0 1 0 -1 0 
 41 65 0 1 0 -1 0 
 39 88 0 1 0 -1 0 
 6 9 0 1 0 -1 0 
 35 92 0 1 0 -1 0 
 29 37 0 1 0 -1 0 
 100 11 0 1 0 -1 0 
 9 56 0 1 0 -1 0 
 18 59 0 1 0 -1 0 
 9 88 0 1 0 -1 0 
 2 99 0 1 0 -1 0 
 41 75 0 1 0 -1 0 
 36 64 0 1 0 -1 0 
 74 68 0 1 0 -1 0 
 53 37 0 1 0 -1 0 
 63 44 0 1 0 -1 0 
 32 81 0 1 1 0.4229260732477949 0 
 13 28 0 1 0 -1 0 
 6 30 0 1 0 -1 0 
 59 21 0 1 0 -1 0 
 76 82 0 1 0 -1 0 
 3 56 0 1 0 -1 0 
 28 62 0 1 0 -1 0 
 70 100 0 1 0 -1 0 
 42 68 0 1 0 -1 0 
 61 31 0 1 0 -1 0 
 40 94 0 1 0 -1 0 
 24 89 0 1 1 1.5093335461534145 0 
 70 20 0 1 2 0.0702059804542713 0 
 10 55 0 1 0 -1 0 
 54 84 0 1 0 -1 0 
 83 5 0 1 0 -1 0 
 21 55 0 1 0 -1 0 
 83 71 0 1 0 -1 0 
 6 52 0 1 0 -1 0 
 77 49 0 1 0 -1 0 
 46 68 0 1 0 -1 0 
 72 17 0 1 0 -1 0 
 81 5 0 1 1 1.6435504013042834 0 
 6 2 0 1 0 -1 0 
 29 23 0 1 0 -1 0 
 76 53 0 1 0 -1 0 
 53 16 0 1 0 -1 0 
 63 35 0 1 1 0.47080217369168686 0 
 51 55 0 1 0 -1 0 
 6 25 0 1 2 0.252248132112079 0 
 4 2 0 1 0 -1 0 
 97 25 0 1 0 -1 0 
 67 7 0 1 0 -1 0 
 72 85 0 1 0 -1 0 
 74 66 0 1 0 -1 0 
 85 7 0 1 0 -1 0 
 3 99 0 1 0 -1 0 
 47 3 0 1 0 -1 0 
 44 9 0 1 0 -1 0 
 49 81 0 1 0 -1 0 
 77 23 0 1 0 -1 0 
 54 37 0 1 0 -1 0 
 28 27 0 1 0 -1 0 
 57 3 0 1 0 -1 0 
 36 9 0 1 0 -1 0 
 40 49 0 1 0 -1 0 
 27 67 0 1 0 -1 0 
 73 68 0 1 0 -1 0 
 66 89 0 1 0 -1 0 
 73 56 0 1 0 -1 0 
 40 84 0 1 0 -1 0 
 98 37 0 1 1 1.7183379566177264 0 
 26 55 0 1 0 -1 0 
 21 22 0 1 0 -1 0 
 13 10 0 1 0 -1 0 
 90 67 0 1 0 -1 0 
 100 34 0 1 0 -1 0 
 13 89 0 1 1 0.14438121493624007 0 
 12 57 0 1 0 -1 0 
 70 56 0 1 0 -1 0 
 70 14 0 1 2 0.1832838521457658 0 
